prop,serie,ref,name,name_es,color,medium
SG,GC,72.038,Scrofulous Brown,Marrón Escrofuloso,#A16929,4
SG,GC,72.039,Plague Brown,Marrón Peste,#A7743D,4
SG,GC,72.040,Leather Brown,Marrón Cuero,#896134,4
SG,GC,72.042,Parasite Brown,Piel de Parásitos,#9D5F2A,4
SG,GC,72.043,Beasty Brown,Marrón Bichos,#75532A,4
SG,GC,72.044,Dark Fleshtone,Carne Oscura,#59362A,4
SG,GC,72.045,Charred Brown,Marrón Carboniz.,#3C2826,4
SG,GC,72.047,Wolf Grey,Gris Lobo,#B8CACA,4
SG,GC,72.048,Sombre Grey,Gris Sombra,#54646F,4
SG,GC,72.049,Stonewall Grey,Gris Muralla,#969084,4
SG,GC,72.050,Neutral Grey,Gris Neutral,#6D6F66,4
SG,GC,72.051,Black,Negro,#000000,4
ME,GC,72.052,Silver,Plata,#A9B3B4,4
ME,GC,72.053,Chainmail,Malla de Acero,#8B939B,4
ME,GC,72.054,Dark Gunmetal,Gris Metaliz. Osc.,#696E73,4
ME,GC,72.055,Polished Gold,Dorado Pulido,#E1B233,4
ME,GC,72.056,Glorious Gold,Oro Glorioso,#CF8C34,4
ME,GC,72.057,Bright Bronze,Bronce,#9F5A18,4
ME,GC,72.058,Brassy Brass,Bronce Pulido,#AA6B46,4
ME,GC,72.059,Hammered Copper,Cobre Bruñido,#724633,4
ME,GC,72.060,Tinny Tin,Hojalata,#522B27,4
SG,GC,72.061,Khaki,Caqui,#957D55,4
SG,GC,72.062,Earth,Tierra,#715735,4
SG,GC,72.063,Desert Yellow,Desierto,#946B3D,4
SG,GC,72.066,Tan,Carne Marrón,#936758,4
SG,GC,72.067,Cayman Green,Verde Caimán,#55532E,4
SG,GC,72.071,Barbarian Skin,Piel de Bárbaro,#8D6849,4
SG,GC,72.076,Alien Purple,Púrpura Alienígena,#6B66AE,4
SG,GC,72.082,White,Blanco,#FFFFFF,4
SG,GC,72.083,Magenta Magenta,Magenta,#A52C60,4
SG,GC,72.084,Dark Turquoise,Turquesa Oscuro,#00748A,4
SG,GC,72.085,Yellow,Amarillo,#EBA72A,4
SG,GC,72.086,Red,Rojo,#D21F26,4
